N,Z,A,Element,Origin,Mass Excess [keV],ME unc [keV],Binding Energy [keV],BE unc [keV],B?,B- decay Energy [keV],B-decay En unc [keV]
60,48,108,Cd,,-89252.4,1.1,8550.019,0.01,,*,10
59,49,108,In,,-84120,9,8495.25,0.08,B+,5133,9     10
58,50,108,Sn,,-82070,5,8469.03,0.05,B+,2050,10     10
57,51,108,Sb,x,-72445,5,8372.67,0.05,B+,9625,8     10
56,52,108,Te,,-65782,5,8303.72,0.05,B+,6664,8     10
55,53,108,I,#NAME?,-52650,130,8174.9,1.2,B+,13130,130     10
70,39,109,Y,x,-33200,700,8096,6,B-,12990,860.    10
69,40,109,Zr,x,-46190,500,8208,5,B-,10500,570.    10
68,41,109,Nb,x,-56690,260,8297.1,2.4,B-,9980,260     10
67,42,109,Mo,x,-66666,11,8381.48,0.1,B-,7617,15     10
66,43,109,Tc,x,-74283,10,8444.18,0.09,B-,6456,13     10
65,44,109,Ru,-4n,-80738,9,8496.23,0.08,B-,4261,10     10
64,45,109,Rh,,-84999,4,8528.14,0.04,B-,2607,4     10
63,46,109,Pd,,-87606.5,1.1,8544.882,0.01,B-,1112.9,1.4   10
62,47,109,Ag,,-88719.4,1.3,8547.915,0.012,,*,10
61,48,109,Cd,,-88504.3,1.5,8538.764,0.014,B+,215.1,1.8   10
60,49,109,In,,-86490,4,8513.1,0.04,B+,2015,4     10
59,50,109,Sn,,-82630,8,8470.52,0.07,B+,3859,9     10
58,51,109,Sb,,-76251,5,8404.82,0.05,B+,6379,9     10
57,52,109,Te,,-67715,4,8319.33,0.04,B+,8536,7     10
56,53,109,I,#NAME?,-57672,7,8220.02,0.06,B+,10043,8     10
55,54,109,Xe,#NAME?,-46170,300,8107.3,2.8,B+,11500,300     10
70,40,110,Zr,x,-42890,600,8177,5,B-,9420,1030.    10
69,41,110,Nb,x,-52310,840,8255,8,B-,12230,840     10
68,42,110,Mo,x,-64543,24,8359.35,0.22,B-,6492,26     10
67,43,110,Tc,x,-71035,9,8411.26,0.09,B-,9038,13     10
66,44,110,Ru,,-80073,9,8486.31,0.08,B-,2756,19     10
65,45,110,Rh,,-82829,18,8504.25,0.16,B-,5502,18     10
