N,Z,A,Element,Origin,Mass Excess [keV],ME unc [keV],Binding Energy [keV],BE unc [keV],B?,B- decay Energy [keV],B-decay En unc [keV]
85,55,140,Cs,,-77050,8,8314.32,0.06,B-,6219,10     13
84,56,140,Ba,,-83269,8,8353.16,0.06,B-,1047,8     13
83,57,140,La,,-84315.9,2,8355.047,0.014,B-,3760.2,1.7   13
82,58,140,Ce,,-88076.1,1.6,8376.317,0.011,,*,13
81,59,140,Pr,-,-84688,6,8346.53,0.04,B+,3388,6     13
80,60,140,Nd,x,-84259,3,8337.875,0.025,B+,429,7     13
79,61,140,Pm,-,-78214,24,8289.11,0.17,B+,6045,24     13
78,62,140,Sm,x,-75456,12,8263.82,0.09,B+,2758,27     13
77,63,140,Eu,-,-66990,50,8197.7,0.4,B+,8470,50     13
76,64,140,Gd,x,-61782,28,8154.97,0.2,B+,5200,60     13
75,65,140,Tb,-,-50480,800,8069,6,B+,11300,800     13
74,66,140,Dy,x,-42830,400,8008,3,B+,7650,900.    13
73,67,140,Ho,#NAME?,-29260,500,7906,4,B+,13570,640.    13
90,51,141,Sb,x,-39110,500,8066,4,B-,11380,640.    14
89,52,141,Te,x,-50490,400,8141,3,B-,9440,400.    14
88,53,141,I,x,-59927,16,8202.26,0.11,B-,8271,16     14
87,54,141,Xe,x,-68197.3,2.9,8255.364,0.02,B-,6280,10     14
86,55,141,Cs,,-74478,9,8294.36,0.07,B-,5255,10     14
85,56,141,Ba,,-79733,5,8326.08,0.04,B-,3199,7     14
84,57,141,La,,-82932,4,8343.217,0.03,B-,2501,4     14
83,58,141,Ce,,-85432.9,1.6,8355.408,0.011,B-,582.7,1.2   14
82,59,141,Pr,,-86015.6,1.7,8353.992,0.012,,*,14
81,60,141,Nd,-,-84193,3,8335.515,0.023,B+,1823,2.8   14
80,61,141,Pm,x,-80523,14,8303.94,0.1,B+,3670,14     14
79,62,141,Sm,,-75934,9,8265.84,0.06,B+,4589,16     14
78,63,141,Eu,,-69926,13,8217.68,0.09,B+,6008,14     14
77,64,141,Gd,x,-63224,20,8164.61,0.14,B+,6701,23     14
76,65,141,Tb,x,-54540,110,8097.5,0.7,B+,8680,110     14
75,66,141,Dy,x,-45380,300,8027,2,B+,9160,320.    14
74,67,141,Ho,#NAME?,-34360,400,7943,3,B+,11020,500.    14
90,52,142,Te,x,-46370,500,8111,4,B-,8400,630.    14
89,53,142,I,x,-54770,370,8165,2.6,B-,10460,370     14
88,54,142,Xe,x,-65229.6,2.7,8233.169,0.019,B-,5285,8     14
87,55,142,Cs,,-70515,7,8264.88,0.05,B-,7328,8     14
86,56,142,Ba,,-77842,6,8310.97,0.04,B-,2182,8     14
85,57,142,La,,-80024,6,8320.83,0.04,B-,4509,6     14
84,58,142,Ce,,-84533.2,2.5,8347.071,0.018,B-,-745.7,2.5   14
83,59,142,Pr,,-83787.5,1.7,8336.31,0.012,B-,2162.5,1.4   14
82,60,142,Nd,,-85950,1.4,8346.03,0.01,,*,14
81,61,142,Pm,,-81142,24,8306.66,0.17,B+,4808,24     14
80,62,142,Sm,,-78986,3,8285.972,0.022,B+,2156,24     14
79,63,142,Eu,-,-71310,30,8226.43,0.21,B+,7670,30     14
78,64,142,Gd,x,-66960,28,8190.26,0.2,B+,4350,40     14
77,65,142,Tb,-,-56560,700,8112,5,B+,10400,700     14
76,66,142,Dy,-,-50120,730,8061,5,B+,6440,200.    14
75,67,142,Ho,x,-37250,400,7965,3,B+,12870,830.    14
74,68,142,Er,x,-28030,500,7894,4,B+,9220,640.    14
91,52,143,Te,x,-40280,500,8068,4,B-,10350,540.    14
90,53,143,I,x,-50630,200,8135,1,B-,9570,200.    14
89,54,143,Xe,x,-60203,5,8196.88,0.03,B-,7473,9     14
88,55,143,Cs,,-67676,8,8243.67,0.05,B-,6262,10     14
87,56,143,Ba,,-73937,7,8281.99,0.05,B-,4234,10     14
86,57,143,La,,-78172,7,8306.13,0.05,B-,3435,8     14
85,58,143,Ce,,-81606.7,2.5,8324.678,0.018,B-,1461.6,1.9   14
84,59,143,Pr,,-83068.2,1.9,8329.428,0.013,B-,934,1.4   14
83,60,143,Nd,,-84002.2,1.4,8330.488,0.01,,*,14
82,61,143,Pm,,-82960.7,3,8317.733,0.021,B+,1041.6,2.7   14
81,62,143,Sm,,-79517.2,2.8,8288.182,0.02,B+,3443,4     14
80,63,143,Eu,x,-74241,11,8245.82,0.08,B+,5276,11     14
79,64,143,Gd,-,-68230,200,8198.3,1.4,B+,6010,200     14
78,65,143,Tb,x,-60420,50,8138.2,0.4,B+,7810,210     14
77,66,143,Dy,x,-52169,13,8075.05,0.09,B+,8250,50     14
76,67,143,Ho,x,-42050,300,7999,2,B+,10120,300.    14
75,68,143,Er,x,-31260,400,7918,3,B+,10790,500.    14
91,53,144,I,x,-45280,400,8098,3,B-,11590,400.    14
90,54,144,Xe,x,-56872,5,8172.88,0.04,B-,6399,21     14
89,55,144,Cs,,-63271,20,8211.89,0.14,B-,8496,20     14
88,56,144,Ba,,-71767,7,8265.45,0.05,B-,3083,15     14
87,57,144,La,x,-74850,13,8281.43,0.09,B-,5582,13     14
86,58,144,Ce,+,-80431.9,2.9,8314.76,0.02,B-,318.6,0.8   14
85,59,144,Pr,+,-80750.5,2.8,8311.54,0.019,B-,2997.4,2.4   14
84,60,144,Nd,,-83748,1.4,8326.922,0.009,B-,-2331.9,2.6   14
83,61,144,Pm,,-81416.1,3,8305.296,0.021,B-,549.4,2.7   14
82,62,144,Sm,,-81965.5,1.6,8303.679,0.011,,*,14
81,63,144,Eu,,-75619,11,8254.17,0.07,B+,6346,11     14
80,64,144,Gd,x,-71760,28,8221.94,0.19,B+,3860,30     14
79,65,144,Tb,x,-62368,28,8151.29,0.19,B+,9390,40     14
78,66,144,Dy,x,-56570,7,8105.59,0.05,B+,5798,29     14
77,67,144,Ho,x,-44610,8,8017.1,0.06,B+,11961,11     14
76,68,144,Er,x,-36610,200,7956,1,B+,8000,200.    14
75,69,144,Tm,#NAME?,-22260,400,7851,3,B+,14350,450.    14
92,53,145,I,x,-40940,500,8068,3,B-,10550,500.    14
91,54,145,Xe,x,-51493,11,8135.09,0.08,B-,8561,14     14
90,55,145,Cs,,-60054,9,8188.73,0.06,B-,7462,12     14
89,56,145,Ba,x,-67516,8,8234.8,0.06,B-,5319,15     14
88,57,145,La,,-72835,12,8266.09,0.08,B-,4230,40     14
87,58,145,Ce,,-77070,30,8289.88,0.23,B-,2560,30     14
86,59,145,Pr,,-79626,7,8302.13,0.05,B-,1806,7     14
85,60,145,Nd,,-81432,1.4,8309.187,0.01,,*,14
84,61,145,Pm,,-81267.5,2.9,8302.657,0.02,B+,164.5,2.5   14
83,62,145,Sm,,-80651.3,1.6,8293.013,0.011,B+,616.2,2.5   14
82,63,145,Eu,,-77992,3,8269.274,0.021,B+,2659.8,2.7   14
81,64,145,Gd,,-72926,20,8228.95,0.14,B+,5065,20     14
80,65,145,Tb,,-66390,110,8178.5,0.8,B+,6540,110     14
79,66,145,Dy,x,-58243,7,8116.89,0.04,B+,8150,110     14
78,67,145,Ho,x,-49120,7,8048.58,0.05,B+,9122,10     14
77,68,145,Er,x,-39240,200,7975,1,B+,9880,200.    14
76,69,145,Tm,#NAME?,-27580,200,7889,1,B+,11660,280.    14
92,54,146,Xe,x,-47955,24,8110.41,0.17,B-,7355,24     14
91,55,146,Cs,x,-55310.4,2.9,8155.436,0.02,B-,9637,21     14
90,56,146,Ba,,-64947,21,8216.08,0.14,B-,4100,30     14
89,57,146,La,,-69050,30,8238.83,0.23,B-,6590,30     14
88,58,146,Ce,,-75635,16,8278.57,0.11,B-,1050,30     14
87,59,146,Pr,,-76680,30,8280.38,0.24,B-,4240,30     14
86,60,146,Nd,,-80925.9,1.4,8304.092,0.009,B-,-1472,4     14
85,61,146,Pm,+,-79454,4,8288.654,0.03,B-,1542,3     14
84,62,146,Sm,,-80996,3,8293.857,0.021,,*,14
83,63,146,Eu,,-77118,6,8261.93,0.04,B+,3879,6     14
82,64,146,Gd,,-76086,4,8249.506,0.028,B+,1032,7     14
81,65,146,Tb,,-67760,40,8187.1,0.3,B+,8320,40     14
80,66,146,Dy,,-62555,7,8146.11,0.05,B+,5210,50     14
79,67,146,Ho,,-51238,7,8063.24,0.05,B+,11317,9     14
78,68,146,Er,,-44322,7,8010.51,0.05,B+,6916,9     14
77,69,146,Tm,#NAME?,-31060,200,7914,1,B+,13270,200.    14
93,54,147,Xe,x,-42360,200,8072,1,B-,9560,200.    14
92,55,147,Cs,x,-51920,8,8131.8,0.06,B-,8344,21     14
91,56,147,Ba,x,-60264,20,8183.24,0.13,B-,6414,22     14
90,57,147,La,x,-66678,11,8221.55,0.07,B-,5336,14     14
89,58,147,Ce,,-72014,9,8252.53,0.06,B-,3430,16     14
88,59,147,Pr,,-75444,16,8270.54,0.11,B-,2703,16     14
87,60,147,Nd,,-78146.7,1.4,8283.603,0.009,B-,895.5,0.5   14
86,61,147,Pm,,-79042.3,1.4,8284.372,0.01,B-,224.09,0.29  14
85,62,147,Sm,,-79266.4,1.4,8280.575,0.009,,*,14
84,63,147,Eu,,-77544.8,2.6,8263.541,0.018,B+,1721.6,2.3   14
83,64,147,Gd,,-75356.9,2,8243.336,0.013,B+,2187.8,2.5   14
82,65,147,Tb,,-70743,8,8206.62,0.06,B+,4614,8     14
81,66,147,Dy,x,-64196,9,8156.77,0.06,B+,6547,12     14
80,67,147,Ho,,-55757,5,8094.04,0.03,B+,8439,10     14
79,68,147,Er,x,-46610,40,8026.48,0.26,B+,9150,40     14
78,69,147,Tm,,-35974,7,7948.82,0.05,B+,10630,40     14
94,54,148,Xe,x,-38600,300,8047,2,B-,8310,300.    14
93,55,148,Cs,x,-46911,13,8097.55,0.09,B-,10680,60     14
92,56,148,Ba,+,-57590,60,8164.4,0.4,B-,5110,60     14
91,57,148,La,x,-62709,19,8193.72,0.13,B-,7690,22     14
90,58,148,Ce,,-70398,11,8240.39,0.08,B-,2137,13     14
89,59,148,Pr,,-72535,15,8249.54,0.1,B-,4873,15     14
88,60,148,Nd,,-77408,2.1,8277.177,0.014,B-,-542,6     14
87,61,148,Pm,#NAME?,-76866,6,8268.23,0.04,B-,2471,6     14
86,62,148,Sm,,-79336.3,1.4,8279.633,0.009,,*,14
85,63,148,Eu,,-76299,10,8253.83,0.07,B+,3037,10     14
84,64,148,Gd,,-76269.3,1.6,8248.338,0.011,B+,30,10     14
83,65,148,Tb,,-70537,12,8204.32,0.08,B+,5732,13     14
82,66,148,Dy,,-67860,9,8180.94,0.06,B+,2678,10     14
81,67,148,Ho,x,-57990,80,8109,0.6,B+,9870,80     14
80,68,148,Er,x,-51479,10,8059.69,0.07,B+,6510,80     14
79,69,148,Tm,x,-38765,10,7968.5,0.07,B+,12714,14     14
78,70,148,Yb,x,-30330,400,7906,3,B+,8440,400.    14
94,55,149,Cs,x,-43250,400,8073,3,B-,9870,590.    14
93,56,149,Ba,x,-53120,440,8133.8,2.9,B-,7100,480     14
92,57,149,La,+,-60220,200,8176.2,1.3,B-,6450,200     14
91,58,149,Ce,x,-66670,10,8214.23,0.07,B-,4369,14     14
90,59,149,Pr,x,-71039,10,8238.3,0.07,B-,3336,10     14
89,60,149,Nd,#NAME?,-74375.5,2.1,8255.442,0.014,B-,1688.8,2.5   14
88,61,149,Pm,,-76064.3,2.3,8261.526,0.015,B-,1071.5,1.9   14
87,62,149,Sm,,-77135.7,1.3,8263.466,0.009,,*,14
86,63,149,Eu,,-76441,4,8253.554,0.027,B+,695,4     14
85,64,149,Gd,,-75127,3,8239.484,0.023,B+,1314,4     14
84,65,149,Tb,,-71489,4,8209.815,0.025,B+,3638,4     14
83,66,149,Dy,,-67696,9,8179.11,0.06,B+,3793,9     14
82,67,149,Ho,,-61647,12,8133.26,0.08,B+,6049,13     14
81,68,149,Er,x,-53742,28,8074.96,0.19,B+,7900,30     14
80,69,149,Tm,x,-43880,200,8004,1,B+,9860,200.    14
79,70,149,Yb,x,-33200,300,7927,2,B+,10680,360.    14
95,55,150,Cs,x,-38170,400,8039,3,B-,11730,500.    14
94,56,150,Ba,x,-49900,300,8112,2,B-,6230,530.    14
93,57,150,La,x,-56130,440,8148.2,2.9,B-,8720,440     14
92,58,150,Ce,,-64847,12,8201.12,0.08,B-,3454,14     14
91,59,150,Pr,,-68300,9,8218.93,0.06,B-,5379,9     14
90,60,150,Nd,,-73679.8,1.3,8249.577,0.009,B-,-83,20     14
89,61,150,Pm,+,-73597,20,8243.81,0.13,B-,3454,20     14
88,62,150,Sm,,-77051.1,1.3,8261.621,0.009,B-,-2259,6     14
87,63,150,Eu,,-74792,6,8241.35,0.04,B-,972,4     14
86,64,150,Gd,,-75764,6,8242.61,0.04,,*,14
85,65,150,Tb,,-71106,7,8206.34,0.05,B+,4658,8     14
84,66,150,Dy,,-69310,4,8189.149,0.029,B+,1796,8     14
83,67,150,Ho,,-61946,14,8134.84,0.09,B+,7364,14     14
82,68,150,Er,,-57831,17,8102.2,0.11,B+,4115,14     14
81,69,150,Tm,x,-46490,200,8021,1,B+,11340,200.    14
80,70,150,Yb,x,-38640,300,7964,2,B+,7850,360.    14
79,71,150,Lu,#NAME?,-24640,300,7865,2,B+,14000,420.    14
96,55,151,Cs,x,-34230,500,8013,3,B-,10710,640.    15
95,56,151,Ba,x,-44940,400,8079,3,B-,8370,590.    15
94,57,151,La,x,-53310,440,8129,2.9,B-,7910,440     15
93,58,151,Ce,x,-61225,18,8176.28,0.12,B-,5555,21     15
92,59,151,Pr,,-66780,12,8207.88,0.08,B-,4163,12     15
91,60,151,Nd,,-70943,1.3,8230.272,0.009,B-,2443,4     15
90,61,151,Pm,,-73386,5,8241.27,0.03,B-,1190,4     15
89,62,151,Sm,,-74576.3,1.3,8243.971,0.008,B-,76.6,0.5   15
88,63,151,Eu,,-74652.9,1.3,8239.297,0.009,,*,15
87,64,151,Gd,,-74189,3,8231.043,0.02,B+,464.1,2.8   15
86,65,151,Tb,,-71624,4,8208.873,0.027,B+,2565,4     15
85,66,151,Dy,#NAME?,-68752,3,8184.678,0.022,B+,2871,5     15
84,67,151,Ho,#NAME?,-63623,8,8145.53,0.05,B+,5130,9     15
83,68,151,Er,x,-58266,16,8104.87,0.11,B+,5356,18     15
82,69,151,Tm,#NAME?,-50773,19,8050.06,0.13,B+,7494,25     15
81,70,151,Yb,ep,-41540,300,7983.8,2,B+,9230,300     15
80,71,151,Lu,#NAME?,-30110,300,7903,2,B+,11430,430.    15
97,55,152,Cs,x,-28930,500,7979,3,B-,12780,640.    15
96,56,152,Ba,x,-41710,400,8057,3,B-,7580,500.    15
95,57,152,La,x,-49290,300,8102,2,B-,9690,360.    15
94,58,152,Ce,x,-58980,200,8161,1,B-,4780,200.    15
93,59,152,Pr,x,-63758,19,8187.1,0.12,B-,6390,30     15
92,60,152,Nd,,-70149,24,8224.01,0.16,B-,1105,19     15
91,61,152,Pm,,-71254,26,8226.13,0.17,B-,3508,26     15
90,62,152,Sm,,-74762.6,1.2,8244.061,0.008,B-,-1874.3,0.7   15
89,63,152,Eu,,-72888.3,1.3,8226.583,0.009,B-,1818.7,0.7   15
88,64,152,Gd,,-74706.9,1.2,8233.401,0.008,,*,15
87,65,152,Tb,-,-70720,40,8202,0.26,B+,3990,40     15
86,66,152,Dy,#NAME?,-70118,5,8192.92,0.03,B+,600,40     15
85,67,152,Ho,,-63605,13,8144.92,0.08,B+,6513,13     15
84,68,152,Er,,-60500,9,8119.35,0.06,B+,3104,10     15
83,69,152,Tm,,-51720,50,8056.4,0.4,B+,8780,50     15
82,70,152,Yb,,-46270,150,8015.4,1,B+,5450,140     15
81,71,152,Lu,x,-33420,200,7926,1,B+,12850,250.    15
97,56,153,Ba,x,-36470,400,8023,3,B-,9590,500.    15
96,57,153,La,x,-46060,300,8081,2,B-,8850,360.    15
95,58,153,Ce,x,-54910,200,8134,1,B-,6660,200.    15
94,59,153,Pr,,-61568,12,8172.04,0.08,B-,5762,12     15
93,60,153,Nd,,-67330.3,2.7,8204.582,0.018,B-,3318,9     15
92,61,153,Pm,,-70648,9,8221.15,0.06,B-,1912,9     15
91,62,153,Sm,#NAME?,-72559.7,1.2,8228.534,0.008,B-,807.5,0.7   15
90,63,153,Eu,,-73367.2,1.3,8228.699,0.009,,*,15
89,64,153,Gd,,-72882.6,1.2,8220.418,0.008,B+,484.7,0.7   15
88,65,153,Tb,,-71313,4,8205.048,0.026,B+,1569,4     15
87,66,153,Dy,,-69143,4,8185.749,0.026,B+,2170.4,1.9   15
86,67,153,Ho,#NAME?,-65012,5,8153.64,0.03,B+,4131,6     15
85,68,153,Er,,-60469,9,8118.83,0.06,B+,4543,10     15
84,69,153,Tm,,-53973,12,8071.26,0.08,B+,6495,13     15
83,70,153,Yb,x,-47210,200,8022,1,B+,6770,200.    15
82,71,153,Lu,#NAME?,-38370,150,7959.1,1,B+,8840,250.    15
81,72,153,Hf,x,-27300,300,7882,2,B+,11070,340.    15
98,56,154,Ba,x,-32820,500,8000,3,B-,8710,580.    15
97,57,154,La,x,-41530,300,8051,2,B-,10690,360.    15
96,58,154,Ce,x,-52220,200,8116,1,B-,5890,230.    15
95,59,154,Pr,+,-58100,110,8148.9,0.7,B-,7720,100     15
94,60,154,Nd,+,-65820,50,8193.9,0.3,B-,2687,25     15
93,61,154,Pm,IT,-68510,50,8206.3,0.3,B-,3940,50     15
92,62,154,Sm,,-72455.2,1.5,8226.835,0.009,B-,-717.1,1.1   15
91,63,154,Eu,,-71738.1,1.3,8217.098,0.009,B-,1967.8,0.8   15
90,64,154,Gd,,-73706,1.2,8224.796,0.008,B-,-3550,50     15
89,65,154,Tb,-,-70160,50,8196.67,0.29,B-,240,50     15
88,66,154,Dy,,-70394,7,8193.13,0.05,,*,15
87,67,154,Ho,#NAME?,-64639,8,8150.68,0.05,B+,5755,10     15
86,68,154,Er,,-62605,5,8132.39,0.03,B+,2034,9     15
85,69,154,Tm,#NAME?,-54427,14,8074.21,0.09,B+,8178,15     15
84,70,154,Yb,,-49932,17,8039.94,0.11,B+,4495,14     15
83,71,154,Lu,#NAME?,-39720,200,7969,1,B+,10220,200.    15
82,72,154,Hf,x,-32670,300,7918,2,B+,7050,360.    15
98,57,155,La,x,-37930,400,8028,3,B-,9850,500.    15
97,58,155,Ce,x,-47780,300,8087,2,B-,7640,300.    15
96,59,155,Pr,,-55415,17,8131.04,0.11,B-,6868,19     15
95,60,155,Nd,,-62284,9,8170.3,0.06,B-,4656,10     15
94,61,155,Pm,,-66940,5,8195.3,0.03,B-,3251,5     15
93,62,155,Sm,#NAME?,-70190.8,1.5,8211.223,0.01,B-,1627.3,1.2   15
92,63,155,Eu,,-71818.1,1.4,8216.674,0.009,B-,251.8,0.9   15
91,64,155,Gd,,-72069.9,1.2,8213.251,0.008,,*,15
90,65,155,Tb,+,-71250,10,8202.91,0.06,B+,820,10     15
89,66,155,Dy,,-69156,10,8184.35,0.06,B+,2094.5,1.9   15
88,67,155,Ho,,-66040,17,8159.2,0.11,B+,3116,17     15
87,68,155,Er,#NAME?,-62209,6,8129.44,0.04,B+,3830,18     15
86,69,155,Tm,#NAME?,-56626,10,8088.38,0.06,B+,5583,12     15
85,70,155,Yb,#NAME?,-50503,17,8043.82,0.11,B+,6123,19     15
84,71,155,Lu,#NAME?,-42545,19,7987.44,0.12,B+,7958,25     15
83,72,155,Hf,x,-34170,300,7928,2,B+,8380,300.    15
82,73,155,Ta,#NAME?,-23930,300,7857,2,B+,10240,420.    15
99,57,156,La,x,-33050,400,7997,3,B-,11770,500.    15
98,58,156,Ce,x,-44820,300,8068,2,B-,6750,360.    15
97,59,156,Pr,x,-51570,200,8106,1,B-,8910,280.    15
96,60,156,Nd,+,-60470,200,8158.1,1.3,B-,3690,200     15
95,61,156,Pm,,-64164,4,8176.705,0.023,B-,5197,9     15
94,62,156,Sm,,-69360,9,8205,0.05,B-,722,8     15
93,63,156,Eu,,-70083,4,8204.617,0.023,B-,2452,3     15
92,64,156,Gd,,-72534.9,1.2,8215.322,0.008,B-,-2444,4     15
91,65,156,Tb,,-70091,4,8194.639,0.024,B-,438,4     15
90,66,156,Dy,,-70529,1.2,8192.433,0.008,,*,15
89,67,156,Ho,-,-65480,60,8155,0.4,B+,5050,60     15
88,68,156,Er,,-64212,25,8141.91,0.16,B+,1270,60     15
87,69,156,Tm,,-56835,14,8089.6,0.09,B+,7377,27     15
86,70,156,Yb,,-53266,9,8061.71,0.06,B+,3569,13     15
85,71,156,Lu,#NAME?,-43700,50,7995.4,0.3,B+,9570,50     15
84,72,156,Hf,,-37820,150,7952.7,1,B+,5880,140     15
83,73,156,Ta,#NAME?,-25860,300,7871,2,B+,11960,330.    15
99,58,157,Ce,x,-39930,400,8037,3,B-,8610,500.    15
98,59,157,Pr,x,-48540,300,8086,2,B-,7920,300.    15
97,60,157,Nd,,-56462,25,8131.96,0.16,B-,5835,26     15
96,61,157,Pm,,-62297,7,8164.14,0.04,B-,4381,8     15
95,62,157,Sm,,-66678,4,8187.063,0.028,B-,2781,6     15
94,63,157,Eu,,-69459,4,8199.795,0.027,B-,1365,4     15
93,64,157,Gd,,-70823.5,1.2,8203.504,0.008,,*,15
92,65,157,Tb,,-70763.4,1.2,8198.138,0.008,B+,60.04,0.30  15
91,66,157,Dy,,-69425,5,8184.63,0.03,B+,1339,5     15
90,67,157,Ho,,-66833,23,8163.14,0.15,B+,2592,24     15
89,68,157,Er,,-63414,27,8136.37,0.17,B+,3420,30     15
88,69,157,Tm,x,-58709,28,8101.43,0.18,B+,4700,40     15
87,70,157,Yb,,-53422,11,8062.77,0.07,B+,5290,30     15
86,71,157,Lu,,-46441,12,8013.32,0.08,B+,6981,14     15
85,72,157,Hf,#NAME?,-38900,200,7960,1,B+,7540,200.    15
84,73,157,Ta,IT,-29590,150,7896,1,B+,9310,250.    15
83,74,157,W,x,-19470,400,7827,3,B+,10120,430.    15
100,58,158,Ce,x,-36660,400,8016,3,B-,7670,500.    15
99,59,158,Pr,x,-44330,300,8060,2,B-,9730,360.    15
98,60,158,Nd,x,-54060,200,8116,1,B-,5040,200.    15
97,61,158,Pm,,-59089,13,8143.25,0.09,B-,6161,14     15
96,62,158,Sm,,-65250,5,8177.3,0.03,B-,2005,10     15
95,63,158,Eu,,-67255,10,8185.03,0.06,B-,3434,10     15
94,64,158,Gd,,-70689.5,1.2,8201.819,0.008,B-,-1218.9,1.0   15
93,65,158,Tb,,-69470.7,1.4,8189.153,0.009,B-,936.7,2.5   15
92,66,158,Dy,,-70407.3,2.4,8190.13,0.015,,*,15
91,67,158,Ho,-,-66188,27,8158.47,0.17,B+,4220,27     15
90,68,158,Er,,-65304,25,8147.93,0.16,B+,880,40     15
89,69,158,Tm,,-58703,25,8101.2,0.16,B+,6600,30     15
88,70,158,Yb,,-56010,8,8079.2,0.05,B+,2693,26     15
87,71,158,Lu,#NAME?,-47212,15,8018.57,0.1,B+,8798,17     15
86,72,158,Hf,,-42102,17,7981.28,0.11,B+,5110,15     15
85,73,158,Ta,#NAME?,-31170,200,7907,1,B+,10940,200.    15
84,74,158,W,#NAME?,-23630,300,7854,2,B+,7530,360.    15
100,59,159,Pr,x,-41090,400,8039,3,B-,8720,500.    15
99,60,159,Nd,x,-49810,300,8089,2,B-,6750,300.    15
98,61,159,Pm,,-56554,10,8126.86,0.06,B-,5653,12     15
97,62,159,Sm,,-62208,6,8157.5,0.04,B-,3836,7     15
96,63,159,Eu,,-66043,4,8176.697,0.027,B-,2518,4     15
95,64,159,Gd,,-68561.4,1.2,8187.614,0.007,B-,970.9,0.8   15
94,65,159,Tb,,-69532.4,1.3,8188.8,0.008,,*,15
93,66,159,Dy,,-69167.1,1.5,8181.583,0.01,B+,365.2,1.2   15
92,67,159,Ho,-,-67330,3,8165.105,0.019,B+,1837.6,2.7   15
91,68,159,Er,-,-64561,4,8142.773,0.023,B+,2768.5,2.0   15
90,69,159,Tm,x,-60570,28,8112.75,0.18,B+,3991,28     15
89,70,159,Yb,x,-55839,18,8078.07,0.11,B+,4730,30     15
88,71,159,Lu,x,-49710,40,8034.6,0.24,B+,6130,40     15
87,72,159,Hf,#NAME?,-42853,17,7986.56,0.11,B+,6860,40     15
86,73,159,Ta,IT,-34439,20,7928.73,0.12,B+,8413,26     15
85,74,159,W,#NAME?,-25300,300,7866,2,B+,9150,300.    15
84,75,159,Re,IT,-14750,310,7795,2,B+,10550,430.    15
101,59,160,Pr,x,-36520,400,8011,2,B-,10610,500.    15
100,60,160,Nd,x,-47130,300,8073,2,B-,5870,360.    15
99,61,160,Pm,x,-53000,200,8104,1,B-,7230,200.    15
98,62,160,Sm,,-60235,6,8144.63,0.04,B-,3246,11     15
97,63,160,Eu,,-63480,10,8160.02,0.06,B-,4461,10     15
96,64,160,Gd,,-67941.7,1.3,8183.014,0.008,B-,-105.5,1.0   15
95,65,160,Tb,,-67836.3,1.3,8177.465,0.008,B-,1836.5,1.2   15
94,66,160,Dy,,-69672.7,0.8,8184.054,0.005,,*,15
93,67,160,Ho,-,-66383,15,8158.6,0.09,B+,3290,15     15
92,68,160,Er,,-66064,24,8151.72,0.15,B+,319,29     15
91,69,160,Tm,,-60300,30,8110.82,0.21,B+,5760,40     15
90,70,160,Yb,,-58163,7,8092.56,0.05,B+,2140,40     15
89,71,160,Lu,x,-50270,60,8038.3,0.4,B+,7890,60     15
88,72,160,Hf,,-45939,10,8006.38,0.06,B+,4330,60     15
87,73,160,Ta,#NAME?,-35820,50,7938.3,0.3,B+,10120,60     15
86,74,160,W,,-29330,150,7892.8,0.9,B+,6500,140     15
85,75,160,Re,#NAME?,-16740,300,7809,2,B+,12590,330.    15
101,60,161,Nd,x,-42590,400,8044,2,B-,7650,500.    16
100,61,161,Pm,x,-50240,300,8087,2,B-,6440,300.    16
99,62,161,Sm,,-56672,7,8122.04,0.04,B-,5120,12     16
98,63,161,Eu,,-61792,10,8148.98,0.06,B-,3714,11     16
97,64,161,Gd,#NAME?,-65505.8,1.6,8167.191,0.01,B-,1955.8,1.4   16
96,65,161,Tb,,-67461.6,1.4,8174.479,0.008,B-,594.2,1.3   16
95,66,161,Dy,,-68055.8,0.8,8173.31,0.005,,*,16
94,67,161,Ho,,-67197.3,2.2,8163.119,0.014,B+,858.5,2.2   16
93,68,161,Er,#NAME?,-65202,9,8145.86,0.05,B+,1996,9     16
92,69,161,Tm,x,-61899,28,8120.49,0.17,B+,3303,29     16
91,70,161,Yb,x,-57839,15,8090.42,0.1,B+,4060,30     16
90,71,161,Lu,x,-52562,28,8052.78,0.17,B+,5280,30     16
89,72,161,Hf,,-46315,23,8009.12,0.14,B+,6250,40     16
88,73,161,Ta,#NAME?,-38779,24,7957.45,0.15,B+,7540,30     16
87,74,161,W,#NAME?,-30560,200,7902,1,B+,8220,200.    16
86,75,161,Re,,-20840,150,7836.3,0.9,B+,9720,250.    16
85,76,161,Os,#NAME?,-9980,400,7764,2,B+,10860,430.    16
102,60,162,Nd,x,-39550,400,8026,2,B-,6820,500.    16
101,61,162,Pm,x,-46370,300,8063,2,B-,8160,360.    16
100,62,162,Sm,x,-54530,200,8109,1,B-,4170,200.    16
99,63,162,Eu,+,-58700,40,8129.44,0.22,B-,5580,40     16
98,64,162,Gd,#NAME?,-64280,4,8159.035,0.025,B-,1400,40     16
97,65,162,Tb,+,-65680,40,8162.82,0.22,B-,2510,40     16
96,66,162,Dy,,-68181.5,0.8,8173.457,0.005,B-,-2140,3     16
95,67,162,Ho,,-66042,3,8155.418,0.02,B-,293,3     16
94,68,162,Er,,-66334.5,0.8,8152.397,0.005,,*,16
93,69,162,Tm,-,-61478,26,8117.59,0.16,B+,4857,26     16
92,70,162,Yb,x,-59826,15,8102.56,0.09,B+,1650,30     16
